review_id,text,true_sentiment,true_category
1,الاكل لذيذ جدا صراحه جوده وطعم وسعر والمكان نظيف واطلاله روعه والستاف قمه ف الذوق والاخلاق,positive,Food Quality
2,تاخر الطلب كثير. نص ساعه عشان احد يجينا وياخذ الطلب .. توصل لاطباق ببطى رغم انه مافي زحمه ,negative,Waiting Time
3,حبيت ان الموظف المحترم amar كان يسمعني شنو انا ابي بالضبط...وتأكد لي ان طلبي يوصلني مثالي نفس ماحب ... شكرا معاملتك وابتسامتك وخدمتك الطيبة لنا,positive,Service & Staff
4,ذهبت مرتين للأمانه كل مره احلى من الثانيه اكلهم لذيذ مره والخدمه ممتازه,positive,Food Quality
5,المكان رايق وجميل والطعام متنوع ولذيذ وخدمتهم رائعه وترحيب وخدمه جيده..اكرر الزيارة,positive,Food Quality
6,كل ماجي البحرين لازم امرهم اكلهم لذيذ واسلوبهم ومعاملتهم رايقه,positive,Service & Staff
7,"Thank you, Noor! As always, your service is excellent . I truly appreciate the complimentary sweets. Your professionalism and warm welcome make every visit special. This café’s quality and attention to detail are outstanding. Thank you for choosing such dedicated staff",positive,Service & Staff
8,"للأسف، الموظفين ما أحسنوا الخدمة! لشخصين، جربنا الفطور العائلي، وأيضاً كان دون المُستوى. أطباق جدّاً صغيرة ( حجم للأطفال فقط لا غير ) لا يغركم صورة الأطباق في إعلانهم أو في قائمة الطعام. فقط تكفي لشخص واحد، و بالتالي سعر الفطور مُبالغ فيه جدّا و لا يستحق مُسمى عائلي. الشاي الكرك غير مشمول، الشاي العادي غير مشمول !! ولا حتى كأس ماء! لشخصين دفعنا ١٧.٧٩٠ دينار بحريني. ما راح أنصح بهذا المطعم لأحد. في خيارات بحرينية جدًاً ممتازة و بأسعار جدّا معقولة و الأهم من هذا كله الخدمة.! الطاقم جميعه كان متملل من الصبح. و ما لمسنا منهم أي روح التعاون حتى في أبسط الأشياء المفروض مطعم بهذا الحجم يقدمها",negative,Price
9,بالنسبه للمطعم انا كنت فيه يوم الجمعه الصباح بدري للفطور وصلت وجلست في الجلسات الخارجيه انتظرت ماحد جاء ياخذ طلبنا وبعد طول إنتظار ومناداة النادل اخيرا جاء واخذ الطلب ولكن طااااال انتظارنا للفطور ولا حد رد علينا اللي يقهر كان الاجانب من جنسيات غير عربيه يجون واشوف بعيني الكل يركض لهم ويفتح لهم الكراسي وياخذ طلبهم ويجيب الفطور بسررررعه والله العظيم اني ناديت يمكن اربعه او خمسه من اللي ياخذون الطلبات ولا واحد جاب فطورنا وبعدها جابوا الخبز والكرك بارد فقط ماجابو باقي الطلبات ولما اشتكيت جابوا الفول بارد وباقي الطلبات بدون ملاعق ولاسكر ولا مناديل للاسف خدمتهم هالمره جدا سيئه والسبب النادل من الجنسيه المصريه كان يتجاهلنا مع اننا نتردد على هالمطعم كثير من قبل لكن ماعمرنا شفنا نفس هالموقف . تغيرت نظرتي لهذا المطعم,negative,Service & Staff
10,المطعم فلس طيني والطاقم مصري طلبت مشكل مشاوي لحم نصف الاوصال قطع شحم كما في الصوره وطلبت ثوم وسكتني بمايونيزيوجد ذباب بالخارج,negative,Food Quality
